EGM2008,EGM96,num,dif08,dif96
30.268,30.306,267,-0.39743,-0.434589
30.333,30.338,268,-0.40378,-0.40907
29.965,30.017,269,-0.35097,-0.402844
29.778,29.676,270,-0.37706,-0.274881
29.813,29.752,271,-0.37874,-0.317758
30.484,30.502,272,-0.4163,-0.433549
29.819,29.873,273,-0.41567,-0.47015
30.66,30.73,274,-0.407,-0.476585
29.96,30.043,275,-0.39586,-0.479195
30.482,30.634,276,-0.35624,-0.50793
30.499,30.519,277,-0.36772,-0.388483
30.949,31.042,278,-0.36078,-0.45422
30.965,31.071,279,-0.36392,-0.470118
31.028,31.071,280,-0.35856,-0.40246
31.153,31.327,281,-0.38962,-0.564213
29.431,29.415,282,-0.34809,-0.332097
29.136,29.288,283,-0.3586,-0.511463
29.983,30.044,284,-0.34078,-0.402394
29.443,29.582,285,-0.34962,-0.489234
30.154,30.231,286,-0.3535,-0.429873
30.55,30.665,287,-0.36054,-0.475713
29.62,29.763,288,-0.33977,-0.483127
29.893,30.095,289,-0.36205,-0.563598
28.925,29.069,290,-0.36407,-0.507821
28.609,28.696,291,-0.36133,-0.448173
28.619,28.794,292,-0.34915,-0.523951
29.409,29.455,293,-0.34382,-0.390169
28.722,28.962,294,-0.35624,-0.596047
28.115,28.134,295,-0.35396,-0.373183
28.283,28.357,296,-0.36257,-0.43657
28.323,28.437,297,-0.37467,-0.488604
28.572,28.684,298,-0.35802,-0.469533
34.693,34.533,299,-0.40348,-0.243084
35.212,35.029,300,-0.42151,-0.238665
32.707,32.266,301,-0.4075,0.03417
33.302,32.818,302,-0.40137,0.083204
33.04,32.781,303,-0.39603,-0.137085
33.643,33.619,304,-0.3528,-0.329299
32.77,32.617,305,-0.38684,-0.234184
31.084,30.978,306,-0.3825,-0.276667
31.671,31.598,307,-0.36538,-0.291629
31.193,31.128,308,-0.34388,-0.278892
31.991,31.883,309,-0.39009,-0.282319
31.144,30.866,310,-0.33473,-0.057488
31.97,31.825,311,-0.34965,-0.204571
29.869,29.814,312,-0.38227,-0.326864
30.119,30.006,313,-0.3859,-0.273134
30.067,29.917,314,-0.39306,-0.242875
30.614,30.356,315,-0.35629,-0.098183
29.825,29.773,316,-0.39466,-0.342844
30.418,30.163,317,-0.34855,-0.094487
30.853,30.638,318,-0.35056,-0.135578
30.238,30.159,319,-0.35853,-0.27962
29.47,29.447,320,-0.41982,-0.397422
29.31,29.34,321,-0.33145,-0.361359
29.646,29.638,322,-0.39574,-0.387536
28.761,28.741,323,-0.37271,-0.352914
28.186,28.305,324,-0.38935,-0.508164
29.228,29.264,325,-0.36952,-0.406488
29.679,29.765,326,-0.36511,-0.45113
28.151,28.204,327,-0.3765,-0.429203
28.645,28.715,328,-0.36317,-0.433087
27.457,27.326,329,-0.37921,-0.247842
27.856,27.845,330,-0.36445,-0.352921
28.21,28.227,331,-0.35003,-0.367331
27.507,27.467,332,-0.36975,-0.329924
27.948,27.84,333,-0.35531,-0.247366
27.665,27.642,334,-0.36415,-0.340895
